Video Shots: 96

, frame_number: 30130 | start: 00:10:01 | end: 00:10:02 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 30160 | start: 00:10:02 | end: 00:10:03 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 30515 | start: 00:10:03 | end: 00:10:10 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 30550 | start: 00:10:10 | end: 00:10:11 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 31480 | start: 00:10:18 | end: 00:10:29 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 31560 | start: 00:10:29 | end: 00:10:31 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 31600 | start: 00:10:31 | end: 00:10:32 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 31620 | start: 00:10:32 | end: 00:10:32 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 31660 | start: 00:10:32 | end: 00:10:33 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 31920 | start: 00:10:33 | end: 00:10:38 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 32270 | start: 00:10:38 | end: 00:10:45 | type: medium | goal: False | goal_mouth: True | audio: False 
, frame_number: 32310 | start: 00:10:45 | end: 00:10:46 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 32940 | start: 00:10:56 | end: 00:10:58 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 38145 | start: 00:10:59 | end: 00:12:43 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 38280 | start: 00:12:43 | end: 00:12:45 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 38600 | start: 00:12:45 | end: 00:12:52 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 38640 | start: 00:12:52 | end: 00:12:52 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 46630 | start: 00:08:48 | end: 00:08:52 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 46655 | start: 00:08:52 | end: 00:08:53 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 62805 | start: 00:10:46 | end: 00:10:56 | type: close | goal: False | goal_mouth: False | audio: False 
]

GOALS: 0 | ATTACKS: 4 | OTHER: 3 

running time: 315.9233319759369
