Video Shots: 102

no. of shots come from audio: 2 

[frame_number: 12955 | start: 00:03:16 | end: 00:04:19 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 15895 | start: 00:04:28 | end: 00:05:34 | type: wide | goal: True | goal_mouth: False | audio: True 
]

Important Events: 65

[frame_number: 2875 | start: 00:00:41 | end: 00:00:57 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 2925 | start: 00:00:57 | end: 00:00:58 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 2990 | start: 00:00:58 | end: 00:00:59 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 3355 | start: 00:01:00 | end: 00:01:07 | type: medium | goal: True | goal_mouth: False | audio: False 
, frame_number: 3425 | start: 00:01:07 | end: 00:01:08 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 3745 | start: 00:01:08 | end: 00:01:15 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 3785 | start: 00:01:15 | end: 00:01:15 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 4525 | start: 00:01:15 | end: 00:01:30 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 4795 | start: 00:01:30 | end: 00:01:36 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 4855 | start: 00:01:36 | end: 00:01:37 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 5250 | start: 00:01:37 | end: 00:01:45 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 5705 | start: 00:01:45 | end: 00:01:54 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 5750 | start: 00:01:54 | end: 00:01:55 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 8735 | start: 00:02:05 | end: 00:02:54 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 8855 | start: 00:02:54 | end: 00:02:57 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 8875 | start: 00:02:57 | end: 00:02:57 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 9045 | start: 00:02:57 | end: 00:03:01 | type: close | goal: False | goal_mouth: False | audio: False 
