Video Shots: 163

frame_number: 150 | start: 00:00:00 | end: 00:00:03 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 19600 | start: 00:06:29 | end: 00:06:32 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 19620 | start: 00:06:32 | end: 00:06:32 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19640 | start: 00:06:32 | end: 00:06:32 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 19665 | start: 00:06:33 | end: 00:06:33 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 19685 | start: 00:06:33 | end: 00:06:33 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 19705 | start: 00:06:33 | end: 00:06:34 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19725 | start: 00:06:34 | end: 00:06:34 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19780 | start: 00:06:34 | end: 00:06:35 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19800 | start: 00:06:35 | end: 00:06:36 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19825 | start: 00:06:36 | end: 00:06:36 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19845 | start: 00:06:36 | end: 00:06:37 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19865 | start: 00:06:37 | end: 00:06:37 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19930 | start: 00:06:37 | end: 00:06:38 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19995 | start: 00:06:38 | end: 00:06:40 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 20445 | start: 00:06:40 | end: 00:06:49 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 20810 | start: 00:06:49 | end: 00:06:56 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 22800 | start: 00:06:56 | end: 00:07:36 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 22990 | start: 00:07:36 | end: 00:07:39 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 23480 | start: 00:07:40 | end: 00:07:49 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 43600 | start: 00:07:49 | end: 00:07:52 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 43625 | start: 00:07:52 | end: 00:07:52 | type: <member 'LOGO' of 'SHOT_TYPES' objects> | goal: False | goal_mouth: False | audio: False 
frame_number: 24795 | start: 472.7 | end: 496.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 24850 | start: 496.1 | end: 497.1 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 25480 | start: 497.2 | end: 509.7 | type: wide | goal: False | goal_mouth: False | audio: False 
