Video Shots: 83

, frame_number: 33890 | start: 00:10:46 | end: 00:11:17 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 34355 | start: 00:11:18 | end: 00:11:27 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 34395 | start: 00:11:27 | end: 00:11:28 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 34795 | start: 00:11:28 | end: 00:11:36 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 34830 | start: 00:11:36 | end: 00:11:36 | type: logo | goal: False | goal_mouth: False | audio: False 
]

GOALS: 1 | ATTACKS: 4 | OTHER: 1 

running time: 283.485223531723
