Video Shots: 85

, frame_number: 18970 | start: 00:06:10 | end: 00:06:19 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 19010 | start: 00:06:19 | end: 00:06:20 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 20580 | start: 00:06:47 | end: 00:06:51 | type: medium | goal: False | goal_mouth: False | audio: True 
, frame_number: 20930 | start: 00:06:51 | end: 00:06:58 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 21110 | start: 00:06:58 | end: 00:07:02 | type: close-out | goal: False | goal_mouth: False | audio: True 
, frame_number: 21140 | start: 00:07:02 | end: 00:07:02 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 21575 | start: 00:07:11 | end: 00:07:11 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 23220 | start: 00:07:15 | end: 00:07:44 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 23320 | start: 00:07:44 | end: 00:07:46 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 23375 | start: 00:07:46 | end: 00:07:47 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 23415 | start: 00:07:47 | end: 00:07:48 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 23895 | start: 00:07:48 | end: 00:07:58 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 24245 | start: 00:07:58 | end: 00:08:05 | type: medium | goal: False | goal_mouth: True | audio: False 
, frame_number: 24285 | start: 00:08:05 | end: 00:08:05 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 27450 | start: 00:08:40 | end: 00:09:09 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 27630 | start: 00:09:09 | end: 00:09:12 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 27665 | start: 00:09:12 | end: 00:09:13 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 28520 | start: 00:09:13 | end: 00:09:30 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 28560 | start: 00:09:30 | end: 00:09:31 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 41570 | start: 00:07:03 | end: 00:07:11 | type: wide | goal: False | goal_mouth: False | audio: False 
]

GOALS: 0 | ATTACKS: 3 | OTHER: 4 

running time: 266.2059156894684
