Video Shots: 160

frame_number: 37860 | start: 00:12:34 | end: 00:12:37 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 38145 | start: 00:12:37 | end: 00:12:43 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 38430 | start: 00:12:43 | end: 00:12:48 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 38875 | start: 00:12:48 | end: 00:12:57 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 39270 | start: 00:12:57 | end: 00:13:05 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 39490 | start: 00:13:05 | end: 00:13:09 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 41465 | start: 00:13:10 | end: 00:13:49 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 41820 | start: 00:13:49 | end: 00:13:56 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 42155 | start: 00:13:56 | end: 00:14:03 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 42430 | start: 00:14:03 | end: 00:14:08 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 43595 | start: 00:14:08 | end: 00:14:32 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 43685 | start: 00:14:32 | end: 00:14:33 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 43715 | start: 00:14:33 | end: 00:14:34 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 43750 | start: 00:14:34 | end: 00:14:35 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 43790 | start: 00:14:35 | end: 00:14:35 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 44650 | start: 00:14:36 | end: 00:14:53 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 44930 | start: 00:14:53 | end: 00:14:58 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 46405 | start: 00:14:58 | end: 00:15:28 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 46745 | start: 00:15:28 | end: 00:15:35 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 48875 | start: 00:15:35 | end: 00:16:17 | type: wide | goal: False | goal_mouth: True | audio: True 
frame_number: 49200 | start: 00:16:17 | end: 00:16:24 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 49235 | start: 00:16:24 | end: 00:16:24 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 49820 | start: 00:16:24 | end: 00:16:36 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 50155 | start: 00:16:36 | end: 00:16:43 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 50195 | start: 00:16:43 | end: 00:16:44 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 51200 | start: 00:16:44 | end: 00:17:04 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 51455 | start: 00:17:04 | end: 00:17:09 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 51790 | start: 00:17:09 | end: 00:17:15 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 52695 | start: 00:17:16 | end: 00:17:34 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 53045 | start: 00:17:34 | end: 00:17:41 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 54745 | start: 00:17:41 | end: 00:18:15 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 55000 | start: 00:18:15 | end: 00:18:20 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 57855 | start: 00:18:20 | end: 00:19:17 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 58365 | start: 00:19:17 | end: 00:19:27 | type: close-out | goal: True | goal_mouth: False | audio: False 
frame_number: 62855 | start: 00:19:27 | end: 00:20:57 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 63120 | start: 00:20:57 | end: 00:21:02 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 63220 | start: 00:21:02 | end: 00:21:04 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 63310 | start: 00:21:04 | end: 00:21:06 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 63340 | start: 00:21:06 | end: 00:21:07 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 123730 | start: 00:21:07 | end: 00:21:14 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 63735 | start: 00:21:14 | end: 00:21:14 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 64035 | start: 00:21:15 | end: 00:21:20 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 64370 | start: 00:21:21 | end: 00:21:27 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 64400 | start: 00:21:27 | end: 00:21:28 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 64715 | start: 1288.7 | end: 1294.5 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 64965 | start: 1294.6 | end: 1299.4 | type: wide | goal: True | goal_mouth: False | audio: False 
frame_number: 64985 | start: 1299.5 | end: 1299.8 | type: wide | goal: True | goal_mouth: False | audio: False 
frame_number: 65005 | start: 1299.9 | end: 1300.2 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 65025 | start: 1300.3 | end: 1300.6 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 65045 | start: 1300.7 | end: 1301.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 65065 | start: 1301.1 | end: 1301.4 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 65125 | start: 1301.5 | end: 1302.6 | type: wide | goal: False | goal_mouth: False | audio: False 

no. of shots come from audio: 3 

[frame_number: 5800 | start: 00:01:29 | end: 00:01:56 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 6300 | start: 00:02:03 | end: 00:02:06 | type: close | goal: False | goal_mouth: False | audio: True 
, frame_number: 6625 | start: 00:02:06 | end: 00:02:12 | type: close-out | goal: False | goal_mouth: False | audio: True 
]

Important Events: 104

[frame_number: 2760 | start: 00:00:06 | end: 00:00:55 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 2880 | start: 00:00:55 | end: 00:00:57 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 2910 | start: 00:00:57 | end: 00:00:58 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 3300 | start: 00:00:58 | end: 00:01:06 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 3335 | start: 00:01:06 | end: 00:01:06 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 5800 | start: 00:01:29 | end: 00:01:56 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 6300 | start: 00:02:03 | end: 00:02:06 | type: close | goal: False | goal_mouth: False | audio: True 
, frame_number: 6625 | start: 00:02:06 | end: 00:02:12 | type: close-out | goal: False | goal_mouth: False | audio: True 
, frame_number: 15930 | start: 00:03:55 | end: 00:05:18 | type: wide | goal: False | goal_mouth: False | audio: True 
