Video Shots: 102

frame_number: 1660| shot_start: 0.0| shot_end: 33.3| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 6265| shot_start: 121.7| shot_end: 125.4| shot_type: close-out| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 8735| shot_start: 00:02:05| shot_end: 00:02:54| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 8855| shot_start: 00:02:54| shot_end: 00:02:57| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 8875| shot_start: 00:02:57| shot_end: 00:02:57| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 9045| shot_start: 00:02:57| shot_end: 00:03:01| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 9165| shot_start: 00:03:01| shot_end: 00:03:03| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 9410| shot_start: 00:03:03| shot_end: 00:03:08| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 9455| shot_start: 00:03:08| shot_end: 00:03:09| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 9770| shot_start: 00:03:09| shot_end: 00:03:15| shot_type: medium| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 9805| shot_start: 00:03:15| shot_end: 00:03:16| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 12955| shot_start: 00:03:16| shot_end: 00:04:19| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: True
frame_number: 13000| shot_start: 259.3| shot_end: 260.2| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 15895| shot_start: 00:04:28| shot_end: 00:05:34| shot_type: wide| has_goal: True| has_goal_mouth: False| has_high_volume: True
frame_number: 16350| shot_start: 00:05:34| shot_end: 00:05:43| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 16460| shot_start: 00:05:43| shot_end: 00:05:46| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: True
frame_number: 16480| shot_start: 00:05:46| shot_end: 00:05:46| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 16630| shot_start: 00:05:46| shot_end: 00:05:49| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 16660| shot_start: 00:05:49| shot_end: 00:05:50| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 17215| shot_start: 00:05:50| shot_end: 00:06:01| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 17610| shot_start: 00:06:01| shot_end: 00:06:09| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 18140| shot_start: 00:06:09| shot_end: 00:06:19| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 18170| shot_start: 00:06:19| shot_end: 00:06:20| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 18560| shot_start: 380.3| shot_end: 388.0| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 18715| shot_start: 388.1| shot_end: 391.1| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
