Video Shots 88: 

frame_number: 32480| shot_start: 665.3| shot_end: 674.8| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 32925| shot_start: 674.9| shot_end: 683.7| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 33355| shot_start: 683.8| shot_end: 692.3| shot_type: close-out| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 33525| shot_start: 692.4| shot_end: 695.7| shot_type: wide| has_goal: True| has_goal_mouth: True| has_high_volume: False
frame_number: 33545| shot_start: 695.8| shot_end: 696.1| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 33565| shot_start: 696.3| shot_end: 696.6| shot_type: medium| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 33585| shot_start: 696.7| shot_end: 697.0| shot_type: close-out| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 33605| shot_start: 697.1| shot_end: 697.4| shot_type: close-out| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 33660| shot_start: 697.5| shot_end: 698.5| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: False

no. of shots come from audio: 5

[frame_number: 8640| shot_start: 118.4| shot_end: 172.9| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: True
, frame_number: 13820| shot_start: 206.6| shot_end: 276.5| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: True
, frame_number: 20525| shot_start: 381.6| shot_end: 410.6| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: True
, frame_number: 21230| shot_start: 413.4| shot_end: 424.7| shot_type: close-out| has_goal: False| has_goal_mouth: False| has_high_volume: True
, frame_number: 28965| shot_start: 341.25| shot_end: 379.4| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: True
]

Important Events: 

[frame_number: 8640| shot_start: 00:01:58| shot_end: 00:02:52| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: True
, frame_number: 9035| shot_start: 00:02:53| shot_end: 00:03:00| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
, frame_number: 9165| shot_start: 00:03:00| shot_end: 00:03:03| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 9340| shot_start: 00:03:03| shot_end: 00:03:06| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 9380| shot_start: 00:03:07| shot_end: 00:03:07| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 9425| shot_start: 00:03:07| shot_end: 00:03:08| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 9450| shot_start: 00:03:08| shot_end: 00:03:09| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 9495| shot_start: 00:03:09| shot_end: 00:03:10| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 9745| shot_start: 00:03:10| shot_end: 00:03:15| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 9780| shot_start: 00:03:15| shot_end: 00:03:15| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 9820| shot_start: 00:03:15| shot_end: 00:03:16| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 13820| shot_start: 00:03:26| shot_end: 00:04:36| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: True
, frame_number: 15615| shot_start: 00:05:08| shot_end: 00:05:12| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
, frame_number: 15870| shot_start: 00:05:12| shot_end: 00:05:17| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 15910| shot_start: 00:05:17| shot_end: 00:05:18| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 16325| shot_start: 00:05:18| shot_end: 00:05:26| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 16355| shot_start: 00:05:26| shot_end: 00:05:27| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 20525| shot_start: 00:06:21| shot_end: 00:06:50| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: True
, frame_number: 21230| shot_start: 00:06:53| shot_end: 00:07:04| shot_type: close-out| has_goal: False| has_goal_mouth: False| has_high_volume: True
, frame_number: 22550| shot_start: 00:07:04| shot_end: 00:07:31| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: True
, frame_number: 22650| shot_start: 00:07:31| shot_end: 00:07:33| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 22870| shot_start: 00:07:33| shot_end: 00:07:37| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 22910| shot_start: 00:07:37| shot_end: 00:07:38| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 23260| shot_start: 00:07:38| shot_end: 00:07:45| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 23295| shot_start: 00:07:45| shot_end: 00:07:46| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 24945| shot_start: 00:08:16| shot_end: 00:08:27| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
, frame_number: 25110| shot_start: 00:08:27| shot_end: 00:08:30| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 25150| shot_start: 00:08:30| shot_end: 00:08:31| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 25370| shot_start: 00:08:31| shot_end: 00:08:35| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 25410| shot_start: 00:08:36| shot_end: 00:08:36| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 28910| shot_start: 00:09:51| shot_end: 00:09:55| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 28965| shot_start: 00:05:41| shot_end: 00:06:19| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: True
, frame_number: 29190| shot_start: 00:09:55| shot_end: 00:10:00| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 29230| shot_start: 00:10:00| shot_end: 00:10:01| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 29270| shot_start: 00:10:01| shot_end: 00:10:02| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 29505| shot_start: 00:10:02| shot_end: 00:10:06| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 29820| shot_start: 00:10:07| shot_end: 00:10:13| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
, frame_number: 29860| shot_start: 00:10:13| shot_end: 00:10:14| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
]

GOALS: 0| ATTACKS: 5| OTHER: 5

running time: 724.7942750453949
